average_salary,Location
151000.0,"Detroit, MI/Okaland"
150500.0,Potomac/MD/US
150025.0,"Hackensack, NJ USA"
150000.0,Suffern NY
150000.0,Suburban Detroit Mi
150000.0,"Shirley, New York, USA"
150000.0,Santa Ana/CA/USA
150000.0,Portlan/Oregon/USA
150000.0,Point Pleasant/NJ/USA
150000.0,Newbury Park / CA / USA
150000.0,Monroe/LA/USA
150000.0,"Marblehead, ma, USA"
150000.0,Lewes/DE/USA
150000.0,"Hilton Head ISland, SC USA"
150000.0,Global
150000.0,"Damascus, MD"
150000.0,"CT, USAs"
150000.0,Berkeley
148800.0,Mukilteo/WA/USA
148500.0,"Ocala, FL USA"
148051.84,Hong Kong
148000.0,Latham/NewYork/USA
148000.0,Cranbury nj usa
146500.0,SoCal
146363.636363636,"Midland, TX"
146010.576923077,"Long Island, NY"
146000.0,Española NM USA
145555.555555556,Southeast US
145000.0,Washigton DC
145000.0,San Marino/California/USA
145000.0,"Lewisville, Texas USA"
145000.0,"Grand Blanc, MI, USA"
145000.0,"Elk Grove Village, IL"
144000.0,RTP/Durham/NC
144000.0,Dublin Ohio usa
144000.0,"Colprado Springs, CO, USA"
143142.857142857,Eden Prairie man usa
143000.0,"Lowell, MA"
143000.0,"Green, Ohio, United States"
143000.0,East Troy/Wisconsin/USA
142818.181818182,"Illinois, USA"
142500.0,Ventura/CA/USA
142500.0,"Red Bank, NJ"
142329.666666667,"Gloucester, ma usa"
142188.888888889,"Bellingham, WA, USA"
141666.666666667,Lehi Utah
141600.0,Guetersloh/North Rhine-Westfalia/Germany
140600.0,Northern Territory
140561.142857143,Hillsboro / Oregon
140500.0,"Saddle Brook, NJ, USA"
140233.466666667,"Detroit, MI"
140000.0,"Tulare county, california"
140000.0,"Philadelpohia, pa"
140000.0,Oakhurst/NJ/USA
140000.0,NYC metropolitan area
140000.0,Multiple
140000.0,"Jc,nj"
140000.0,"I work 100% remotely. My head office is in Arlington, VA, USA."
140000.0,"Hauppauge, New York, USA"
140000.0,"Emeryville, CA, USA"
140000.0,"Elkridge, MD, USA"
140000.0,DC Metro
139600.0,East Coast USA
139500.0,Roseville California
139000.0,SJ/CA/USA
139000.0,"Jackson, ohio"
139000.0,"Bountiful, Utah USA"
138894.0,Walnut Creek CA USA
138750.0,"SF Bay Area, CA, USA"
138521.44,"Bay Area, CA"
138101.285714286,"El Paso , Tx. USA"
138000.0,"Santa Ana, California, USA"
138000.0,"Martinez, CA, US"
138000.0,Katy Texas usa
138000.0,Asheville
137500.0,Northeast USA
137500.0,Maricopa County Arizona
137500.0,"Friendswood, TX, US"
136729.363636364,Austin
136666.666666667,"Redlands, CA USA"
